id,timestamp,where_stranger,when_stranger,where_student,where_friend,coin_same,coin_different,number_0_10,number_list,number_big,demos_status,demos_identities,demos_languages,error_stranger,error_student,error_friend
90,2020-05-02T12:12:04Z,Pret,1899-12-30T17:00:00Z,The Reg,Trott Lounge - Campus North,Heads,Tails,5,100,1000000,NA,NA,NA,NA,NA,NA
91,2020-05-02T12:14:02Z,A place where you both have been together before.,1899-12-30T12:00:00Z,The middle of the quad; the reg,the reg,Heads,Heads,5,100,500,NA,NA,NA,TRUE,TRUE,NA
92,2020-05-02T12:17:55Z,The Bean.,1899-12-30T11:00:00Z,In front of the quad.,In front of North.,Tails,Tails,7,7,100,UChicago undergraduate student,NA,NA,NA,NA,NA
93,2020-05-02T13:35:51Z,the Reg,1899-12-30T15:00:00Z,the quad,stacks in the reg,Heads,Tails,7,13,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
94,2020-05-02T15:59:47Z,The Bean,1899-12-30T12:00:00Z,The Reg,In front of my dorm,Heads,Tails,7,7,100,UChicago undergraduate student,NA,NA,NA,NA,NA
95,2020-05-02T16:01:09Z,Magnificent Mile,1899-12-30T12:00:00Z,Pret,The Reg,Heads,Tails,5,100,1000,NA,NA,NA,NA,NA,NA
96,2020-05-02T16:18:15Z,Wherever we usually see each other.,1899-12-30T13:00:00Z,The Reg,The Reg,Heads,Tails,4,13,100000,NA,NA,NA,TRUE,NA,NA
97,2020-05-02T17:23:42Z,where you expect them to be at a certain time,1899-12-30T12:00:00Z,no idea,where  we most frequently meet,Heads,Tails,5,100,1000000,NA,NA,NA,TRUE,NA,NA
98,2020-05-02T17:41:30Z,Regenstein Library,1899-12-30T20:00:00Z,Regenstein Library,my apartment (roommates),Heads,Tails,7,100,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
99,2020-05-02T17:44:37Z,UChicago campus,1899-12-30T12:30:00Z,Campus North,Dining hall,Heads,Tails,5,100,1e15,UChicago undergraduate student,NA,NA,NA,NA,NA
100,2020-05-02T18:51:42Z,The Reg,1899-12-30T19:00:00Z,The Reg,Her apt,Heads,Heads,5,100,100,UChicago undergraduate student,NA,NA,NA,NA,NA
101,2020-05-02T20:56:33Z,Union Station,1899-12-30T09:00:00Z,The Reg,Pret,Heads,Tails,1,99,999,UChicago undergraduate student,NA,NA,NA,NA,NA
102,2020-05-02T20:56:52Z,The bean?,1899-12-30T12:00:00Z,The reg,Our house lounge,Heads,Heads,7,7,1000000000,UChicago undergraduate student,NA,NA,NA,NA,NA
103,2020-05-03T03:56:15Z,the Bean,1899-12-30T12:00:00Z,the Quad,Plein Air Café,Heads,Heads,3,100,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
104,2020-05-03T08:54:30Z,My home,1899-12-30T12:00:00Z,cafeteria,home,Tails,Heads,7,7,100,UChicago undergraduate student,NA,NA,NA,NA,NA
105,2020-05-03T10:42:31Z,I would meet them in the lobby of my dorm or by their room.,1899-12-30T12:00:00Z,This is tough but I would also say somewhere in the dorm!,Their room!,Tails,Tails,5,555,5,NA,NA,NA,NA,NA,NA
106,2020-05-03T10:57:05Z,The Bean,1899-12-30T12:00:00Z,The Quad,The Logan Center,Heads,Heads,5,7,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
107,2020-05-03T11:46:34Z,"I would either go to the place where we most commonly interact, if it was close. Or i would stay home.",1899-12-30T13:00:00Z,Library,Their house,Heads,Heads,0,100,1000,UChicago undergraduate student,NA,NA,TRUE,NA,NA
108,2020-05-03T12:44:58Z,Millennium Park,1899-12-30T11:00:00Z,First floor of the reg,Mansueto,Heads,Heads,7,100,1000000000,UChicago undergraduate student,NA,NA,NA,NA,NA
109,2020-05-03T13:25:36Z,The Bean,1899-12-30T12:00:00Z,In front of the Reg,I'd meet them at their apartment,Heads,Heads,3,7,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
110,2020-05-03T13:44:46Z,Reg,1899-12-30T14:00:00Z,Reg,Reg,Heads,Tails,0,100,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
111,2020-05-03T14:29:59Z,The Bean,1899-12-30T15:00:00Z,Pret,The Reg,Heads,Heads,7,7,1000000000,NA,NA,NA,NA,NA,NA
112,2020-05-03T14:57:08Z,"where I know they may be, like their job or school",1899-12-30T10:00:00Z,Reg,Their apartment,Heads,Heads,5,100,100,NA,NA,NA,TRUE,NA,NA
113,2020-05-03T15:04:06Z,the quad,1899-12-30T12:00:00Z,The quad,The reg,Heads,Heads,5,100,1000,UChicago undergraduate student,NA,NA,NA,NA,NA
114,2020-05-03T15:06:40Z,The Reg,NA,The Reg,Their Apartment,Tails,Heads,7,261,100,UChicago undergraduate student,NA,NA,NA,NA,NA
