id,status,identities,languages,affiliation,student,gender,num_languages,new_to_uchicago,new_to_chicago,new_to_usa,international
258,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",new to the university of chicago (<1 year),english,MA Student,Graduate,Woman,1,TRUE,FALSE,FALSE,FALSE
259,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",woman,mandarin,MA Student,Graduate,Woman,1,FALSE,FALSE,FALSE,FALSE
259,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",new to the university of chicago (<1 year),mandarin,MA Student,Graduate,Woman,1,TRUE,FALSE,FALSE,FALSE
259,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",new to chicago (<1 year),mandarin,MA Student,Graduate,Woman,1,FALSE,TRUE,FALSE,FALSE
259,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",new to the us (<1 year),mandarin,MA Student,Graduate,Woman,1,FALSE,FALSE,TRUE,FALSE
259,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",raised outside the us,mandarin,MA Student,Graduate,Woman,1,FALSE,FALSE,FALSE,TRUE
260,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",woman,NA,MA Student,Graduate,Woman,NA,FALSE,FALSE,FALSE,FALSE
261,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",woman,mandarin,MA Student,Graduate,Woman,1,FALSE,FALSE,FALSE,FALSE
261,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",new to the university of chicago (<1 year),mandarin,MA Student,Graduate,Woman,1,TRUE,FALSE,FALSE,FALSE
261,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",new to chicago (<1 year),mandarin,MA Student,Graduate,Woman,1,FALSE,TRUE,FALSE,FALSE
261,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",new to the us (<1 year),mandarin,MA Student,Graduate,Woman,1,FALSE,FALSE,TRUE,FALSE
261,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",raised outside the us,mandarin,MA Student,Graduate,Woman,1,FALSE,FALSE,FALSE,TRUE
262,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",man,mandarin,MA Student,Graduate,Man,3,FALSE,FALSE,FALSE,FALSE
262,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",man,japanese,MA Student,Graduate,Man,3,FALSE,FALSE,FALSE,FALSE
262,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",man,english,MA Student,Graduate,Man,3,FALSE,FALSE,FALSE,FALSE
262,"uchicago ma student (e.g., mapss, macss, harris/crown ma)",new to chicago (<1 year),mandarin,MA Student,Graduate,Man,3,FALSE,TRUE,FALSE,FALSE
